offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
5614092655263516233	2016-09-16T00:00:00+03:00	2016-09-26T00:00:00+03:00	14641073.0	9	False	3	False	117.0	18.0	64.0		0.0	1	2	Россия, Санкт-Петербург, Пионерская улица, 50	3024905028418627748
4440321021702209025	2016-04-25T00:00:00+03:00	2016-10-30T00:00:00+03:00	6300000.0	4	False	2	False	65.0	12.0	32.0		8.0	1	2	Россия, Санкт-Петербург, проспект Космонавтов, 65к1	9137473764455424594
4364879917698227456	2018-04-07T00:00:00+03:00	2018-05-07T00:00:00+03:00	17000.0	4	False	1	False	35.0			50.0		2	2	Россия, Санкт-Петербург, территория Лахта, Новая улица, 7/1	4426336401622631901
7121187318691491072	2018-02-18T00:00:00+03:00	2018-05-02T00:00:00+03:00	3750000.0	10	False	1	False	37.0	8.0	17.0		11.0	1	2	Россия, Санкт-Петербург, Брюсовская улица, 3	8847897872520151401
5191521076591229441	2016-08-15T00:00:00+03:00	2017-11-02T00:00:00+03:00	6100000.0	19	False	2	False	62.7	10.08	32.48		2.0	1	2	Россия, Санкт-Петербург, Пулковское шоссе, 36к4	6690775821291646585
2554639205141191356	2017-11-15T00:00:00+03:00	2018-02-07T00:00:00+03:00	3800000.0	16	False	1	False	33.1	9.6	16.0			1	2	Россия, Санкт-Петербург, Ленинский проспект, 97к1	1861668167106654425
4072756391999618560	2016-08-12T00:00:00+03:00	2016-10-30T00:00:00+03:00	3290000.0	16	False	0	True	23.0		16.0		1.0	1	2	Россия, Санкт-Петербург, Ленинский проспект, 82к3	1861668167106619831
2967404604573610607	2017-08-07T00:00:00+03:00	2018-07-06T00:00:00+03:00	4900000.0	2	False	2	False	57.0	20.6	22.0		6.0	1	2	Россия, Ленинградская область, Ломоносовский район, Аннинское городское поселение, городской посёлок Новоселье, Красносельское шоссе, 1к1	5713669212143376997
2655350570812258048	2017-07-16T00:00:00+03:00	2018-03-02T00:00:00+03:00	18000.0	5	False	0	True	30.0		17.0	50.0	11.0	2	2	Россия, Санкт-Петербург, Бухарестская улица, 118	3947908795902790303
2150234855043561984	2017-10-05T00:00:00+03:00	2017-10-08T00:00:00+03:00	18000.0	18	False	1	False	37.0	11.0	18.0	50.0	1.0	2	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, Новая улица, 13к2	7621053072404329978
